txn_id,txn_date,period,service_period,account_code,account_name,account_type,counterparty_type,counterparty_id,counterparty_name,counterparty_raw,product_id,product_name,quantity,unit_price,amount,currency,fx_rate,amount_usd,invoice_id,txn_kind,memo,segment,region,industry,plan_tier,contract_type
T0000343,2023-01-02,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00358,Thicket Partners SA,Thicket Partners SA,API,Overage,3278.0,0.02,65.55,USD,1.0,65.55,INV-202301-00358,usage,Metered API overage,Mid-Market,NA,Logistics,Starter,monthly
T0000434,2023-01-02,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00437,Larkin Data SA,Larkin Data SA,API,Overage,7699.0,0.02,165.38,EUR,1.0741,153.98,INV-202301-00437,usage,Metered API overage,SMB,EMEA,Logistics,Pro,monthly
E0000004,2023-01-03,2023-01,2023-01,5000,Hosting & Infrastructure,cogs,vendor,V0004,Datadog,DATADOG*U9S2U,Observability,Observability,1.0,9209.29,-9209.29,USD,1.0,-9209.29,BILL-202301-V0004,recurring_spend,Datadog — monthly,,,,,
E0000013,2023-01-03,2023-01,2023-01,6020,Software & Tools,opex,vendor,V0010,Atlassian,ATLASSIAN*WY7KT,Software,Software,1.0,8926.74,-8926.74,USD,1.0,-8926.74,BILL-202301-V0010,recurring_spend,Atlassian — monthly,,,,,
E0000017,2023-01-03,2023-01,2023-01,6030,Marketing,opex,vendor,V0015,LinkedIn Marketing,SQ *LINKEDIN,Marketing,Marketing,1.0,42547.95,-42547.95,USD,1.0,-42547.95,BILL-202301-V0015,recurring_spend,LinkedIn Marketing — monthly,,,,,
E0000021,2023-01-03,2023-01,2023-01,6060,Facilities,opex,vendor,V0021,WeWork,WEWORK IRELAND SARL,Facilities,Facilities,1.0,68727.73,-68727.73,USD,1.0,-68727.73,BILL-202301-V0021,recurring_spend,WeWork — monthly,,,,,
E0000045,2023-01-03,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-GITH,GitHub,MSFT*GITHUB,CardSpend,Corporate card,1.0,944.95,-944.95,USD,1.0,-944.95,CARD-202301,card_spend,Corporate card — GitHub,,,,,
E0000067,2023-01-03,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-SLAC,Slack Technologies,SLACK TECHNOLOGIES,CardSpend,Corporate card,1.0,226.09,-226.09,USD,1.0,-226.09,CARD-202301,card_spend,Corporate card — Slack Technologies,,,,,
E0000091,2023-01-03,2023-01,2023-01,6060,Facilities,opex,vendor,CARD-DOOR,DoorDash,DOORDASH*ORDER,CardSpend,Corporate card,1.0,212.24,-212.24,USD,1.0,-212.24,CARD-202301,card_spend,Corporate card — DoorDash,,,,,
T0000102,2023-01-03,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00089,Umbra Holdings PLC,Umbra Holdings PLC,API,Overage,82.0,0.02,1.76,EUR,1.0741,1.64,INV-202301-00089,usage,Metered API overage,SMB,EMEA,Energy,Starter,annual
T0000277,2023-01-03,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00303,Quarry Dynamics GmbH,Quarry Dynamics GmbH,API,Overage,598.0,0.02,12.85,EUR,1.0741,11.97,INV-202301-00303,usage,Metered API overage,SMB,EMEA,Retail,Enterprise,annual
T0000298,2023-01-03,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00321,Orchard Collective GmbH,Orchard Collective GmbH,API,Overage,1382.0,0.02,27.63,USD,1.0,27.63,INV-202301-00321,usage,Metered API overage,SMB,APAC,Real Estate,Business,monthly
T0000411,2023-01-03,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00423,Arden Data PLC,Arden Data PLC,API,Overage,2860.0,0.02,57.19,USD,1.0,57.19,INV-202301-00423,usage,Metered API overage,SMB,NA,Media,Business,monthly
T0000455,2023-01-03,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00476,Halcyon Data Corp,Halcyon Data Corp,API,Overage,750.0,0.02,15.0,USD,1.0,15.0,INV-202301-00476,usage,Metered API overage,SMB,NA,Logistics,Starter,monthly
T0000490,2023-01-03,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00526,Palisade Freight Corp,Palisade Freight Corp,API,Overage,47837.0,0.02,1027.63,EUR,1.0741,956.73,INV-202301-00526,usage,Metered API overage,Mid-Market,EMEA,Gaming,Business,monthly
T0000606,2023-01-03,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00641,Zephyr Solutions SA,Zephyr Solutions SA,API,Overage,10544.0,0.02,210.89,USD,1.0,210.89,INV-202301-00641,usage,Metered API overage,Mid-Market,NA,Fintech,Business,monthly
T0000615,2023-01-03,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00647,Arden Solutions PLC,Arden Solutions PLC,API,Overage,12231.0,0.02,244.61,USD,1.0,244.61,INV-202301-00647,usage,Metered API overage,Mid-Market,APAC,Real Estate,Pro,monthly
E0000058,2023-01-04,2023-01,2023-01,6050,Travel & Events,opex,vendor,CARD-UNIT,United Airlines,UAL*TICKET 016,CardSpend,Corporate card,1.0,784.03,-784.03,USD,1.0,-784.03,CARD-202301,card_spend,Corporate card — United Airlines,,,,,
E0000093,2023-01-04,2023-01,2023-01,6030,Marketing,opex,vendor,CARD-META,Meta Ads,FB *ADS 8812,CardSpend,Corporate card,1.0,1680.52,-1680.52,USD,1.0,-1680.52,CARD-202301,card_spend,Corporate card — Meta Ads,,,,,
E0000095,2023-01-04,2023-01,2023-01,6060,Facilities,opex,vendor,CARD-DOOR,DoorDash,DD *DOORDASH TEAM,CardSpend,Corporate card,1.0,230.68,-230.68,USD,1.0,-230.68,CARD-202301,card_spend,Corporate card — DoorDash,,,,,
T0000154,2023-01-04,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00142,Juniper Analytics Ltd,Juniper Analytics Ltd,API,Overage,187.0,0.02,3.75,USD,1.0,3.75,INV-202301-00142,usage,Metered API overage,SMB,NA,Media,Starter,annual
T0000247,2023-01-04,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00274,Yarrow Networks LLC,Yarrow Networks LLC,API,Overage,5977.0,0.02,119.54,USD,1.0,119.54,INV-202301-00274,usage,Metered API overage,SMB,NA,Real Estate,Business,monthly
T0000328,2023-01-04,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00343,Blue Analytics Co,Blue Analytics Co,API,Overage,7828.0,0.02,156.56,USD,1.0,156.56,INV-202301-00343,usage,Metered API overage,SMB,APAC,Fintech,Pro,monthly
T0000377,2023-01-04,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00387,Thicket Freight Corp,Thicket Freight Corp,API,Overage,501.0,0.02,10.03,USD,1.0,10.03,INV-202301-00387,usage,Metered API overage,SMB,NA,Real Estate,Starter,monthly
T0000483,2023-01-04,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00523,Verity Logic PLC,Verity Logic PLC,API,Overage,601.0,0.02,12.91,EUR,1.0741,12.02,INV-202301-00523,usage,Metered API overage,SMB,EMEA,Education,Starter,monthly
T0000547,2023-01-04,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00579,Basalt Analytics LLC,Basalt Analytics LLC,API,Overage,1536.0,0.02,30.73,USD,1.0,30.73,INV-202301-00579,usage,Metered API overage,SMB,APAC,Manufacturing,Starter,monthly
E0000011,2023-01-05,2023-01,2023-01,6010,Contractors,opex,vendor,V0009,Andela Engineering,andela.com,Contractors,Contractors,1.0,6553.41,-6553.41,USD,1.0,-6553.41,BILL-202301-V0009,variable_spend,Andela Engineering — project invoice,,,,,
E0000047,2023-01-05,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-GOOG,Google Workspace,GSUITE_acme.io,CardSpend,Corporate card,1.0,254.66,-254.66,USD,1.0,-254.66,CARD-202301,card_spend,Corporate card — Google Workspace,,,,,
E0000053,2023-01-05,2023-01,2023-01,6050,Travel & Events,opex,vendor,CARD-UBER,Uber,UBER *TRIP,CardSpend,Corporate card,1.0,894.18,-894.18,USD,1.0,-894.18,CARD-202301,card_spend,Corporate card — Uber,,,,,
E0000066,2023-01-05,2023-01,2023-01,6060,Facilities,opex,vendor,CARD-DOOR,DoorDash,DD DOORDASH,CardSpend,Corporate card,1.0,191.66,-191.66,USD,1.0,-191.66,CARD-202301,card_spend,Corporate card — DoorDash,,,,,
T0000018,2023-01-05,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00007,Fenwick Freight PLC,Fenwick Freight PLC,API,Overage,888.0,0.02,17.76,USD,1.0,17.76,INV-202301-00007,usage,Metered API overage,SMB,NA,Media,Starter,monthly
T0000045,2023-01-05,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00021,Quarry Collective Inc,Quarry Collective Inc,API,Overage,779.0,0.02,16.73,EUR,1.0741,15.58,INV-202301-00021,usage,Metered API overage,SMB,EMEA,Energy,Pro,monthly
T0000092,2023-01-05,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00082,Yarrow Works LLC,Yarrow Works LLC,API,Overage,14992.0,0.02,322.07,EUR,1.0741,299.85,INV-202301-00082,usage,Metered API overage,Mid-Market,EMEA,Media,Pro,monthly
T0000107,2023-01-05,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00095,Stanton Solutions PLC,Stanton Solutions PLC,API,Overage,302.0,0.02,6.05,USD,1.0,6.05,INV-202301-00095,usage,Metered API overage,SMB,NA,Retail,Pro,monthly
T0000118,2023-01-05,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00105,Zephyr Works Corp,Zephyr Works Corp,API,Overage,13075.0,0.02,261.49,USD,1.0,261.49,INV-202301-00105,usage,Metered API overage,Mid-Market,NA,Logistics,Pro,annual
T0000210,2023-01-05,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00210,Mosaic Collective Corp,Mosaic Collective Corp,API,Overage,10238.0,0.02,204.75,USD,1.0,204.75,INV-202301-00210,usage,Metered API overage,SMB,APAC,Energy,Pro,monthly
T0000309,2023-01-05,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00331,Cardinal Solutions LLC,Cardinal Solutions LLC,API,Overage,278.0,0.02,5.55,USD,1.0,5.55,INV-202301-00331,usage,Metered API overage,SMB,NA,Energy,Starter,monthly
T0000444,2023-01-05,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00460,Larkin Logic Co,Larkin Logic Co,API,Overage,2414.0,0.02,48.28,USD,1.0,48.28,INV-202301-00460,usage,Metered API overage,SMB,NA,Gaming,Pro,monthly
T0000447,2023-01-05,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00467,Ionic Industries LLC,Ionic Industries LLC,API,Overage,1047.0,0.02,20.94,USD,1.0,20.94,INV-202301-00467,usage,Metered API overage,Mid-Market,NA,Education,Starter,annual
E0000007,2023-01-06,2023-01,2023-01,6000,Payroll,opex,vendor,V0007,Gusto Payroll,GUSTO PAYROLL PMT XQPM,Payroll,Payroll,1.0,194512.94,-194512.94,USD,1.0,-194512.94,BILL-202301-V0007,payroll_run,Gusto Payroll — biweekly payroll run 2023-01-06,,,,,
E0000030,2023-01-06,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-GOOG,Google Workspace,GSUITE_acme.io,CardSpend,Corporate card,1.0,433.83,-433.83,USD,1.0,-433.83,CARD-202301,card_spend,Corporate card — Google Workspace,,,,,
E0000033,2023-01-06,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-OPEN,OpenAI,OPENAI *CHATGPT,CardSpend,Corporate card,1.0,371.85,-371.85,USD,1.0,-371.85,CARD-202301,card_spend,Corporate card — OpenAI,,,,,
E0000043,2023-01-06,2023-01,2023-01,6060,Facilities,opex,vendor,CARD-AMAZ,Amazon Business,AMZN Mktp US*2K4L9,CardSpend,Corporate card,1.0,81.01,-81.01,USD,1.0,-81.01,CARD-202301,card_spend,Corporate card — Amazon Business,,,,,
E0000055,2023-01-06,2023-01,2023-01,6030,Marketing,opex,vendor,CARD-META,Meta Ads,FACEBK *4RT2Q,CardSpend,Corporate card,1.0,263.75,-263.75,USD,1.0,-263.75,CARD-202301,card_spend,Corporate card — Meta Ads,,,,,
T0000039,2023-01-06,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00019,Mosaic Logic GmbH,Mosaic Logic GmbH,API,Overage,728.0,0.02,14.56,USD,1.0,14.56,INV-202301-00019,usage,Metered API overage,SMB,APAC,Healthcare,Business,monthly
T0000134,2023-01-06,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00128,Meridian Group GmbH,Meridian Group GmbH,API,Overage,1347.0,0.02,28.93,EUR,1.0741,26.93,INV-202301-00128,usage,Metered API overage,SMB,EMEA,Healthcare,Starter,monthly
T0000397,2023-01-06,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00404,Halcyon Dynamics PLC,Halcyon Dynamics PLC,API,Overage,152.0,0.02,3.04,USD,1.0,3.04,INV-202301-00404,usage,Metered API overage,SMB,APAC,Education,Starter,monthly
T0000458,2023-01-06,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00477,Kestrel Systems Co,Kestrel Systems Co,API,Overage,3107.0,0.02,66.74,EUR,1.0741,62.14,INV-202301-00477,usage,Metered API overage,Mid-Market,EMEA,Logistics,Pro,monthly
T0000534,2023-01-06,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00563,Verity Interactive GmbH,Verity Interactive GmbH,API,Overage,1978.0,0.02,39.57,USD,1.0,39.57,INV-202301-00563,usage,Metered API overage,SMB,NA,Education,Pro,monthly
T0000571,2023-01-06,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00611,Verity Group Corp,Verity Group Corp,API,Overage,158.0,0.02,3.16,USD,1.0,3.16,INV-202301-00611,usage,Metered API overage,SMB,NA,Manufacturing,Starter,annual
E0000012,2023-01-09,2023-01,2023-01,6010,Contractors,opex,vendor,V0009,Andela Engineering,andela.com,Contractors,Contractors,1.0,16816.2,-16816.2,USD,1.0,-16816.2,BILL-202301-V0009,variable_spend,Andela Engineering — project invoice,,,,,
E0000015,2023-01-09,2023-01,2023-01,6020,Software & Tools,opex,vendor,V0013,Notion Labs,notion.com,Software,Software,1.0,2589.63,-2589.63,USD,1.0,-2589.63,BILL-202301-V0013,recurring_spend,Notion Labs — monthly,,,,,
E0000071,2023-01-09,2023-01,2023-01,6050,Travel & Events,opex,vendor,CARD-UNIT,United Airlines,UNITED AIRLINES INC,CardSpend,Corporate card,1.0,185.96,-185.96,USD,1.0,-185.96,CARD-202301,card_spend,Corporate card — United Airlines,,,,,
E0000102,2023-01-09,2023-01,2023-01,6050,Travel & Events,opex,vendor,CARD-DELT,Delta Air Lines,DELTA AIR 0062,CardSpend,Corporate card,1.0,1322.97,-1322.97,USD,1.0,-1322.97,CARD-202301,card_spend,Corporate card — Delta Air Lines,,,,,
T0000073,2023-01-09,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00059,Mosaic Holdings SA,Mosaic Holdings SA,API,Overage,88153.0,0.02,1763.07,USD,1.0,1763.07,INV-202301-00059,usage,Metered API overage,Enterprise,NA,Gaming,Pro,annual
T0000270,2023-01-09,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00297,Blue Data PLC,Blue Data PLC,API,Overage,59953.0,0.02,1199.05,USD,1.0,1199.05,INV-202301-00297,usage,Metered API overage,Enterprise,NA,Fintech,Starter,annual
T0000305,2023-01-09,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00324,Blue Solutions Corp,Blue Solutions Corp,API,Overage,1185.0,0.02,25.46,EUR,1.0741,23.7,INV-202301-00324,usage,Metered API overage,SMB,EMEA,Retail,Starter,monthly
E0000025,2023-01-10,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-GITH,GitHub,GITHUB *ENTERPRISE,CardSpend,Corporate card,1.0,1215.69,-1215.69,USD,1.0,-1215.69,CARD-202301,card_spend,Corporate card — GitHub,,,,,
E0000097,2023-01-10,2023-01,2023-01,6050,Travel & Events,opex,vendor,CARD-UNIT,United Airlines,UAL*TICKET 016,CardSpend,Corporate card,1.0,1000.38,-1000.38,USD,1.0,-1000.38,CARD-202301,card_spend,Corporate card — United Airlines,,,,,
E0000106,2023-01-10,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-SLAC,Slack Technologies,SALESFORCE*SLACK,CardSpend,Corporate card,1.0,411.53,-411.53,USD,1.0,-411.53,CARD-202301,card_spend,Corporate card — Slack Technologies,,,,,
T0000361,2023-01-10,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00372,Iron Dynamics GmbH,Iron Dynamics GmbH,API,Overage,10750.0,0.02,215.0,USD,1.0,215.0,INV-202301-00372,usage,Metered API overage,Mid-Market,NA,Energy,Business,annual
T0000453,2023-01-10,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00474,Sable Logic GmbH,Sable Logic GmbH,API,Overage,12277.0,0.02,263.73,EUR,1.0741,245.54,INV-202301-00474,usage,Metered API overage,Mid-Market,EMEA,Fintech,Business,annual
T0000515,2023-01-10,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00547,Zephyr Data Co,Zephyr Data Co,API,Overage,2377.0,0.02,47.53,USD,1.0,47.53,INV-202301-00547,usage,Metered API overage,SMB,NA,Real Estate,Business,monthly
T0000578,2023-01-10,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00615,North Collective Corp,North Collective Corp,API,Overage,4903.0,0.02,98.05,USD,1.0,98.05,INV-202301-00615,usage,Metered API overage,Mid-Market,NA,Fintech,Starter,annual
E0000062,2023-01-11,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-OPEN,OpenAI,"OPENAI, LLC",CardSpend,Corporate card,1.0,540.81,-540.81,USD,1.0,-540.81,CARD-202301,card_spend,Corporate card — OpenAI,,,,,
E0000065,2023-01-11,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-APPL,Apple Store,APL*ITUNES,CardSpend,Corporate card,1.0,387.24,-387.24,USD,1.0,-387.24,CARD-202301,card_spend,Corporate card — Apple Store,,,,,
E0000074,2023-01-11,2023-01,2023-01,6050,Travel & Events,opex,vendor,CARD-DELT,Delta Air Lines,DL*AIR 006,CardSpend,Corporate card,1.0,1141.43,-1141.43,USD,1.0,-1141.43,CARD-202301,card_spend,Corporate card — Delta Air Lines,,,,,
E0000076,2023-01-11,2023-01,2023-01,6050,Travel & Events,opex,vendor,CARD-DELT,Delta Air Lines,DELTA AIRLINES ATL,CardSpend,Corporate card,1.0,600.76,-600.76,USD,1.0,-600.76,CARD-202301,card_spend,Corporate card — Delta Air Lines,,,,,
E0000104,2023-01-11,2023-01,2023-01,6050,Travel & Events,opex,vendor,CARD-MARR,Marriott Hotels,COURTYARD BY MARRIOTT,CardSpend,Corporate card,1.0,992.36,-992.36,USD,1.0,-992.36,CARD-202301,card_spend,Corporate card — Marriott Hotels,,,,,
T0000143,2023-01-11,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00133,Juniper Networks LLC,Juniper Networks LLC,API,Overage,625.0,0.02,12.5,USD,1.0,12.5,INV-202301-00133,usage,Metered API overage,SMB,NA,Manufacturing,Pro,monthly
T0000255,2023-01-11,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00280,Cobalt Holdings Inc,Cobalt Holdings Inc,API,Overage,7860.0,0.02,168.84,EUR,1.0741,157.19,INV-202301-00280,usage,Metered API overage,SMB,EMEA,Healthcare,Business,monthly
T0000357,2023-01-11,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00366,Sable Networks PLC,Sable Networks PLC,API,Overage,281.0,0.02,5.62,USD,1.0,5.62,INV-202301-00366,usage,Metered API overage,SMB,NA,Energy,Pro,monthly
T0000474,2023-01-11,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00496,Harrow Analytics Co,Harrow Analytics Co,API,Overage,2603.0,0.02,55.92,EUR,1.0741,52.06,INV-202301-00496,usage,Metered API overage,SMB,EMEA,Retail,Pro,monthly
E0000026,2023-01-12,2023-01,2023-01,6050,Travel & Events,opex,vendor,CARD-DELT,Delta Air Lines,DL*AIR 006,CardSpend,Corporate card,1.0,726.75,-726.75,USD,1.0,-726.75,CARD-202301,card_spend,Corporate card — Delta Air Lines,,,,,
E0000035,2023-01-12,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-APPL,Apple Store,APPLE STORE R123,CardSpend,Corporate card,1.0,900.77,-900.77,USD,1.0,-900.77,CARD-202301,card_spend,Corporate card — Apple Store,,,,,
E0000039,2023-01-12,2023-01,2023-01,6060,Facilities,opex,vendor,CARD-AMAZ,Amazon Business,AMAZON.COM*MT8QP,CardSpend,Corporate card,1.0,360.03,-360.03,USD,1.0,-360.03,CARD-202301,card_spend,Corporate card — Amazon Business,,,,,
E0000068,2023-01-12,2023-01,2023-01,6050,Travel & Events,opex,vendor,CARD-DELT,Delta Air Lines,DL*AIR 006,CardSpend,Corporate card,1.0,571.78,-571.78,USD,1.0,-571.78,CARD-202301,card_spend,Corporate card — Delta Air Lines,,,,,
E0000094,2023-01-12,2023-01,2023-01,6050,Travel & Events,opex,vendor,CARD-UBER,Uber,UBER *EATS,CardSpend,Corporate card,1.0,319.05,-319.05,USD,1.0,-319.05,CARD-202301,card_spend,Corporate card — Uber,,,,,
T0000511,2023-01-12,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00546,Cobalt Logic GmbH,Cobalt Logic GmbH,API,Overage,2071.0,0.02,41.42,USD,1.0,41.42,INV-202301-00546,usage,Metered API overage,Mid-Market,NA,Healthcare,Starter,annual
T0000565,2023-01-12,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00601,Arden Freight GmbH,Arden Freight GmbH,API,Overage,8146.0,0.02,162.92,USD,1.0,162.92,INV-202301-00601,usage,Metered API overage,SMB,APAC,Gaming,Pro,monthly
E0000020,2023-01-13,2023-01,2023-01,6050,Travel & Events,opex,vendor,V0020,Freeman Expositions,FREEMAN EXPOSITIONS PMT GK95,Events,Events,1.0,35350.39,-35350.39,USD,1.0,-35350.39,BILL-202301-V0020,variable_spend,Freeman Expositions — project invoice,,,,,
E0000051,2023-01-13,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-GITH,GitHub,GITHUB.COM,CardSpend,Corporate card,1.0,457.15,-457.15,USD,1.0,-457.15,CARD-202301,card_spend,Corporate card — GitHub,,,,,
E0000073,2023-01-13,2023-01,2023-01,6060,Facilities,opex,vendor,CARD-DOOR,DoorDash,DD *DOORDASH TEAM,CardSpend,Corporate card,1.0,751.36,-751.36,USD,1.0,-751.36,CARD-202301,card_spend,Corporate card — DoorDash,,,,,
E0000075,2023-01-13,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-GITH,GitHub,GITHUB.COM,CardSpend,Corporate card,1.0,174.28,-174.28,USD,1.0,-174.28,CARD-202301,card_spend,Corporate card — GitHub,,,,,
E0000081,2023-01-13,2023-01,2023-01,6050,Travel & Events,opex,vendor,CARD-UNIT,United Airlines,UNITED 0162345678,CardSpend,Corporate card,1.0,317.41,-317.41,USD,1.0,-317.41,CARD-202301,card_spend,Corporate card — United Airlines,,,,,
E0000088,2023-01-13,2023-01,2023-01,6050,Travel & Events,opex,vendor,CARD-UNIT,United Airlines,UNITED 0162345678,CardSpend,Corporate card,1.0,344.23,-344.23,USD,1.0,-344.23,CARD-202301,card_spend,Corporate card — United Airlines,,,,,
T0000006,2023-01-13,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00002,Basalt Holdings Co,Basalt Holdings Co,API,Overage,7091.0,0.02,141.82,USD,1.0,141.82,INV-202301-00002,usage,Metered API overage,SMB,NA,Manufacturing,Enterprise,monthly
T0000322,2023-01-13,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00339,Harrow Interactive SA,Harrow Interactive SA,API,Overage,21628.0,0.02,432.56,USD,1.0,432.56,INV-202301-00339,usage,Metered API overage,Mid-Market,NA,Fintech,Pro,annual
E0000037,2023-01-16,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-OPEN,OpenAI,OPENAI *CHATGPT,CardSpend,Corporate card,1.0,313.12,-313.12,USD,1.0,-313.12,CARD-202301,card_spend,Corporate card — OpenAI,,,,,
E0000083,2023-01-16,2023-01,2023-01,6020,Software & Tools,opex,vendor,CARD-GOOG,Google Workspace,GOOGLE *GSUITE_ac,CardSpend,Corporate card,1.0,289.35,-289.35,USD,1.0,-289.35,CARD-202301,card_spend,Corporate card — Google Workspace,,,,,
E0000098,2023-01-16,2023-01,2023-01,6030,Marketing,opex,vendor,CARD-META,Meta Ads,META PLATFORMS ADS,CardSpend,Corporate card,1.0,1293.24,-1293.24,USD,1.0,-1293.24,CARD-202301,card_spend,Corporate card — Meta Ads,,,,,
T0000015,2023-01-16,2023-01,2023-01,4010,Usage Revenue,revenue,customer,C00006,Cobalt Group LLC,Cobalt Group LLC,API,Overage,3211.0,0.02,64.22,USD,1.0,64.22,INV-202301-00006,usage,Metered API overage,SMB,NA,Real Estate,Starter,monthly
